, N° do imóvel,UF,Cidade,Bairro,Endereço,Preço,Valor de avaliação,Desconto,Descrição,Modalidade de venda,Link de acesso,Tipo de Lugar,Area Total,Area Privativa,Area do Terreno,Quartos,Garagem,Sala,Descrição Extra
69,8787712038403.0,SP ,ARACATUBA ,ROSELE ,"RUA NOEL ROSA, N. 719, Apto 404, BL 07  04 PAVIMENTO ","182.000,00","182.000,00",0.0,"Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787712038403,Apartamento,0.00,39.30,0.00,2,0,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
70,8555517034185.0,SP ,ARACATUBA ,UMUARAMA ,"AVENIDA UMUARAMA, N. 2011, Apto 405, BLOCO 19 30 ANDAR VAGA DE GARAGEM 797 ","140.000,00","140.000,00",0.0,"Apartamento, 0.00 de área total, 47.13 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555517034185,Apartamento,0.00,47.13,0.00,2,1,1," Imóvel NÃO aceita utilização de FGTS.
 FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
71,8555524688969.0,SP ,ARACATUBA ,UMUARAMA ,"AVENIDA UMUARAMA, N. 2011, Apto 104, BL 24 GARAGEM 612 ","160.000,00","160.000,00",0.0,"Apartamento, 0.00 de área total, 40.23 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555524688969,Apartamento,0.00,40.23,0.00,2,1,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
72,8787711774742.0,SP ,ARACATUBA ,UMUARAMA ,"AVENIDA UMUARAMA, N. 1400, Apto 401, BL 02 ","147.000,00","147.000,00",0.0,"Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787711774742,Apartamento,0.00,39.30,0.00,2,1,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
73,8787705465679.0,SP ,ARACATUBA ,JARDIM PAULISTA ,"ESTRADA VICINAL FAUSE CHADE, N. 399, Apto 402, BL 01 ","139.000,00","139.000,00",0.0,"Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705465679,Apartamento,0.00,39.30,0.00,0,1,0," Imóvel NÃO aceita utilização de FGTS.
 FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio.
 Imóvel com ação judicial: 10185047220228260032."
74,8787705594401.0,SP ,ARACATUBA ,MORADA DOS NOBRES ,"TRAVESSA ERNESTO NAZARET, N. 70, Apto 102, BL 02 ","131.000,00","131.000,00",0.0,"Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705594401,Apartamento,0.00,39.30,0.00,2,1,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
75,8787709395730.0,SP ,ARACATUBA ,FAZENDA DO ESTADO ,"ESTRADA VICINAL FAUSE CHADE, N. 455, Apto 201, BL 10 VG 100 ","140.000,00","140.000,00",0.0,"Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787709395730,Apartamento,0.00,39.30,0.00,2,1,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
76,8787711824804.0,SP ,ARACATUBA ,CHACARAS TV ,"RUA NOEL ROSA, N. 719, Apto 403, BL 08 ","139.000,00","139.000,00",0.0,"Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787711824804,Apartamento,0.00,39.30,0.00,2,1,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
77,8787712101180.0,SP ,ARACATUBA ,CHACARAS TV ,"RUA NOEL ROSA, N. 719, Apto 302, BL 05 ","139.000,00","139.000,00",0.0,"Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787712101180,Apartamento,0.00,39.30,0.00,2,1,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
78,8787714016709.0,SP ,ARACATUBA ,CHACARAS TV ,"RUA NOEL ROSA, N. 719, Apto 103, BL 03 ","146.000,00","146.000,00",0.0,"Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787714016709,Apartamento,0.00,39.30,0.00,2,1,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
79,8444417407751.0,SP ,ARACATUBA ,ALVORADA ,"RUA NOROESTE, N. 1167, LT 19 QD 67 ","150.000,00","150.000,00",0.0,"Casa, 0.00 de área total, 63.75 de área privativa, 125.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444417407751,Casa,0.00,63.75,125.00,2,0,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
